date,T_LS
2009-06-01,-47.50757
2009-07-01,-46.34575
2009-08-01,-49.54367
2009-09-01,-50.00148
2009-10-01,-54.341003
2009-11-01,-55.737106
2009-12-01,-59.59784
2010-01-01,-64.97528
2010-02-01,-55.950363
2010-03-01,-56.255737
2010-04-01,-54.707413
2010-05-01,-50.45854
2010-06-01,-46.475555
2010-07-01,-47.564087
2010-08-01,-48.240845
2010-09-01,-50.810852
2010-10-01,-53.724792
2010-11-01,-57.35974
2010-12-01,-62.1093
2011-01-01,-59.727234
2011-02-01,-60.409607
2011-03-01,-59.76367
2011-04-01,-54.09413
2011-05-01,-49.57904
2011-06-01,-47.897064
2011-07-01,-47.94806
2011-08-01,-49.15605
2011-09-01,-50.82077
2011-10-01,-53.64792
2011-11-01,-57.61821
2011-12-01,-62.10617
2012-01-01,-64.466354
2012-02-01,-60.31447
2012-03-01,-54.76172
2012-04-01,-50.48134
2012-05-01,-48.023575
2012-06-01,-45.57109
2012-07-01,-46.51555
2012-08-01,-49.28769
2012-09-01,-49.45558
2012-10-01,-53.042328
2012-11-01,-57.292206
2012-12-01,-63.649017
2013-01-01,-56.049652
2013-02-01,-57.99713
2013-03-01,-56.775146
2013-04-01,-54.155212
2013-05-01,-50.22528
2013-06-01,-48.03044
2013-07-01,-46.32968
2013-08-01,-48.69182
2013-09-01,-52.519653
2013-10-01,-54.42047
2013-11-01,-54.63954
2013-12-01,-59.966522
2014-01-01,-65.38092
2014-02-01,-65.098724
2014-03-01,-61.50659
2014-04-01,-52.971313
2014-05-01,-50.21396
2014-06-01,-46.92151
2014-07-01,-49.63559
2014-08-01,-49.126343
2014-09-01,-51.71753
2014-10-01,-56.37448
2014-11-01,-59.50891
2014-12-01,-60.490738
2015-01-01,-59.91118
2015-02-01,-60.137817
2015-03-01,-56.586563
2015-04-01,-53.76535
2015-05-01,-47.380264
2015-06-01,-43.60797
2015-07-01,-45.713257
2015-08-01,-49.452896
2015-09-01,-50.91008
2015-10-01,-54.095947
2015-11-01,-55.55493
2015-12-01,-60.317474
2016-01-01,-63.685837
2016-02-01,-64.201584
2016-03-01,-58.458054
2016-04-01,-49.53247
2016-05-01,-51.599487
2016-06-01,-47.478653
2016-07-01,-47.056534
2016-08-01,-47.255905
2016-09-01,-50.479675
2016-10-01,-54.44841
2016-11-01,-56.655396
2016-12-01,-58.034973
2017-01-01,-60.247528
2017-02-01,-62.716843
2017-03-01,-54.582123
2017-04-01,-53.5083
2017-05-01,-49.319763
2017-06-01,-47.81122
2017-07-01,-47.615616
2017-08-01,-47.476852
2017-09-01,-51.963013
2017-10-01,-53.18622
2017-11-01,-56.365967
2017-12-01,-61.079193
2018-01-01,-63.195435
2018-02-01,-54.846924
2018-03-01,-54.5036
2018-04-01,-52.823364
2018-05-01,-51.56984
2018-06-01,-45.779953
2018-07-01,-49.00171
2018-08-01,-47.9767
2018-09-01,-49.927856
2018-10-01,-52.08351
2018-11-01,-57.41913
2018-12-01,-60.03174
2019-01-01,-55.776855
2019-02-01,-56.315155
2019-03-01,-55.988373
2019-04-01,-57.279556
2019-05-01,-48.196915
2019-06-01,-46.323776
2019-07-01,-46.228943
2019-08-01,-48.219162
2019-09-01,-50.75183
2019-10-01,-53.13147
2019-11-01,-58.52028
2019-12-01,-59.687225
2020-01-01,-62.38263
2020-02-01,-62.180664
2020-03-01,-55.156494
2020-04-01,-57.11708
2020-05-01,-47.35869
2020-06-01,-49.065887
2020-07-01,-45.870117
2020-08-01,-48.419617
2020-09-01,-49.86525
2020-10-01,-53.3432
2020-11-01,-55.268646
2020-12-01,-62.82451
2021-01-01,-61.99521
2021-02-01,-57.15468
2021-03-01,-55.39052
2021-04-01,-54.956146
2021-05-01,-50.585175
2021-06-01,-48.393738
2021-07-01,-46.991257
2021-08-01,-47.60211
2021-09-01,-51.10112
2021-10-01,-55.68962
2021-11-01,-56.486053
2021-12-01,-60.71054
2022-01-01,-63.131317
2022-02-01,-62.169983
2022-03-01,-61.432632
2022-04-01,-53.095062
2022-05-01,-49.579514
2022-06-01,-47.798645
2022-07-01,-46.593872
2022-08-01,-48.796997
2022-09-01,-52.143677
2022-10-01,-53.3443
2022-11-01,-56.821045
2022-12-01,-58.41432
2023-01-01,-64.02252
2023-02-01,-63.06372
2023-03-01,-50.715027
2023-04-01,-54.56601
2023-05-01,-50.502213
2023-06-01,-48.562744
2023-07-01,-46.85559
2023-08-01,-47.77484
2023-09-01,-50.26091
2023-10-01,-53.868576
2023-11-01,-59.066895
2023-12-01,-63.157852
2024-01-01,-62.806854
2024-02-01,-62.3349
2024-03-01,-55.582413
2024-04-01,-50.096283
2024-05-01,-51.423233
2024-06-01,-46.091736
2024-07-01,-46.58078
2024-08-01,-48.229996
2024-09-01,-50.672134
2024-10-01,-52.4487
2024-11-01,-57.03232
2024-12-01,-60.69951
