date,SAOD_NH
1989-01-01,0.010125
1989-02-01,0.010103333333333334
1989-03-01,0.00991
1989-04-01,0.010215000000000002
1989-05-01,0.010083333333333331
1989-06-01,0.009926666666666667
1989-07-01,0.008100000000000001
1989-08-01,0.007975000000000001
1989-09-01,0.007878333333333333
1989-10-01,0.007464999999999999
1989-11-01,0.007448333333333334
1989-12-01,0.007706666666666667
1990-01-01,0.009233333333333335
1990-02-01,0.009421666666666668
1990-03-01,0.009493333333333333
1990-04-01,0.009593333333333332
1990-05-01,0.009126666666666667
1990-06-01,0.009228333333333333
1990-07-01,0.00924
1990-08-01,0.010143333333333336
1990-09-01,0.00938
1990-10-01,0.008048333333333331
1990-11-01,0.007688333333333334
1990-12-01,0.007293333333333333
1991-01-01,0.0082
1991-02-01,0.008266666666666665
1991-03-01,0.008803333333333333
1991-04-01,0.009358333333333335
1991-05-01,0.009268333333333332
1991-06-01,0.009165000000000001
1991-07-01,0.028908333333333338
1991-08-01,0.035686666666666665
1991-09-01,0.04890666666666666
1991-10-01,0.05909833333333333
1991-11-01,0.06550666666666666
1991-12-01,0.07413666666666667
1992-01-01,0.08284499999999999
1992-02-01,0.09838000000000001
1992-03-01,0.10514333333333332
1992-04-01,0.10584833333333334
1992-05-01,0.17526
1992-06-01,0.20293833333333333
1992-07-01,0.14212499999999997
1992-08-01,0.13891333333333336
1992-09-01,0.12802833333333333
1992-10-01,0.11399
1992-11-01,0.10464333333333335
1992-12-01,0.08804166666666667
1993-01-01,0.07881999999999999
1993-02-01,0.07873833333333334
1993-03-01,0.07797833333333336
1993-04-01,0.08744500000000001
1993-05-01,0.08024666666666667
1993-06-01,0.08022833333333333
1993-07-01,0.06687
1993-08-01,0.05739666666666666
1993-09-01,0.051043333333333336
1993-10-01,0.046586666666666665
1993-11-01,0.042089999999999995
1993-12-01,0.03435
1994-01-01,0.03347166666666667
1994-02-01,0.03070166666666667
1994-03-01,0.030244999999999998
1994-04-01,0.029945
1994-05-01,0.028608333333333336
1994-06-01,0.026878333333333337
1994-07-01,0.021105000000000002
1994-08-01,0.020598333333333333
1994-09-01,0.017311666666666666
1994-10-01,0.017625000000000002
1994-11-01,0.017161666666666665
1994-12-01,0.017046666666666665
1995-01-01,0.018949999999999998
1995-02-01,0.018256666666666668
1995-03-01,0.01843166666666667
1995-04-01,0.018459999999999997
1995-05-01,0.016379999999999995
1995-06-01,0.01563
1995-07-01,0.01565
1995-08-01,0.012061666666666665
1995-09-01,0.00956
1995-10-01,0.009486666666666668
1995-11-01,0.009564999999999999
1995-12-01,0.009121666666666669
1996-01-01,0.010351666666666667
1996-02-01,0.01044
1996-03-01,0.010148333333333336
1996-04-01,0.010953333333333334
1996-05-01,0.010095
1996-06-01,0.017179999999999997
1996-07-01,0.00855
1996-08-01,0.00777
1996-09-01,0.00656
1996-10-01,0.006365
1996-11-01,0.006748333333333333
1996-12-01,0.006996666666666666
1997-01-01,0.007705
1997-02-01,0.00805
1997-03-01,0.008531666666666667
1997-04-01,0.008624999999999999
1997-05-01,0.008328333333333332
1997-06-01,0.009091666666666666
1997-07-01,0.007051666666666667
1997-08-01,0.00648
1997-09-01,0.005811666666666666
1997-10-01,0.005673333333333332
1997-11-01,0.005703333333333334
1997-12-01,0.005946666666666667
1998-01-01,0.006698333333333334
1998-02-01,0.007206666666666667
1998-03-01,0.007858333333333333
1998-04-01,0.009291666666666669
1998-05-01,0.008563333333333334
1998-06-01,0.008985000000000002
1998-07-01,0.007505
1998-08-01,0.007785
1998-09-01,0.009353333333333335
1998-10-01,0.009106666666666667
1998-11-01,0.007333333333333333
1998-12-01,0.007038333333333334
1999-01-01,0.007593333333333334
1999-02-01,0.007515000000000001
1999-03-01,0.007625
