date,QBO_PC1,QBO_PC2
2001-11-01,2.7834,0.0419863
2001-12-01,2.85758,-0.324178
2002-01-01,2.55156,-0.695915
2002-02-01,2.35703,-1.0876
2002-03-01,2.04747,-1.4301
2002-04-01,0.583472,-1.91929
2002-05-01,-0.325626,-1.95757
2002-06-01,-0.675507,-1.6856
2002-07-01,-0.375877,-1.40707
2002-08-01,-0.349043,-1.43858
2002-09-01,-0.568341,-1.3301
2002-10-01,-1.02855,-0.997089
2002-11-01,-1.38454,-0.48909
2002-12-01,-1.11288,-0.105068
2003-01-01,-1.1975,-0.00454286
2003-02-01,-1.41602,-0.0114878
2003-03-01,-1.59382,0.184267
2003-04-01,-1.61136,0.610351
2003-05-01,-1.41931,1.10892
2003-06-01,-0.678673,1.64441
2003-07-01,0.159464,2.00311
2003-08-01,0.65807,1.90777
2003-09-01,0.928802,1.74335
2003-10-01,1.23154,1.57547
2003-11-01,1.88455,1.27401
2003-12-01,2.53904,0.671928
2004-01-01,2.31291,0.261963
2004-02-01,2.33614,-0.22962
2004-03-01,2.59983,-0.599276
2004-04-01,2.14175,-1.22345
2004-05-01,1.0452,-1.65804
2004-06-01,0.239264,-1.70558
2004-07-01,-0.0875639,-1.48127
2004-08-01,-0.164397,-1.30367
2004-09-01,-0.336357,-1.16908
2004-10-01,-0.799125,-0.968586
2004-11-01,-1.09899,-0.523388
2004-12-01,-1.33555,-0.239428
2005-01-01,-1.42619,-0.0871584
2005-02-01,-1.64316,-0.240779
2005-03-01,-2.07927,-0.226873
2005-04-01,-2.25267,0.362741
2005-05-01,-2.24076,0.969061
2005-06-01,-1.54324,1.50732
2005-07-01,-0.673009,1.95605
2005-08-01,-0.387218,2.10213
2005-09-01,0.260089,2.25901
2005-10-01,0.885114,2.33155
2005-11-01,1.63434,1.97826
2005-12-01,1.94272,1.60878
2006-01-01,2.22131,1.13056
2006-02-01,2.25614,0.517188
2006-03-01,2.265,-0.141642
2006-04-01,2.4866,-0.608668
2006-05-01,2.15977,-1.19238
2006-06-01,1.40452,-1.61617
2006-07-01,0.595806,-1.67601
2006-08-01,0.21362,-1.55128
2006-09-01,-0.309562,-1.59204
2006-10-01,-0.777124,-1.51264
2006-11-01,-1.18936,-1.19458
2006-12-01,-1.3293,-0.823168
2007-01-01,-1.16428,-0.450692
2007-02-01,-1.36441,-0.553133
2007-03-01,-1.79969,-0.343268
2007-04-01,-2.09098,0.154653
2007-05-01,-2.31313,0.802381
2007-06-01,-1.03874,1.63932
2007-07-01,0.190187,2.12707
2007-08-01,0.550777,2.30092
2007-09-01,0.741451,2.29868
2007-10-01,1.03545,2.19942
2007-11-01,1.85317,1.83052
2007-12-01,2.21385,1.18479
2008-01-01,2.49335,0.759913
2008-02-01,2.46955,0.139599
2008-03-01,2.42174,-0.309624
2008-04-01,2.44108,-0.754799
2008-05-01,2.13655,-1.38507
2008-06-01,1.25589,-1.717
2008-07-01,0.121117,-1.70792
2008-08-01,-0.189488,-1.62235
2008-09-01,-0.433256,-1.61704
2008-10-01,-0.689277,-1.36297
2008-11-01,-0.627483,-1.00515
2008-12-01,-0.536789,-1.1204
2009-01-01,-0.792525,-1.33621
2009-02-01,-0.971338,-1.41177
2009-03-01,-1.06298,-1.28347
2009-04-01,-1.6911,-1.12384
2009-05-01,-2.18367,-0.503995
2009-06-01,-2.16061,0.149888
2009-07-01,-1.72553,0.746155
2009-08-01,-1.31197,0.865189
2009-09-01,-1.66076,0.741847
2009-10-01,-1.7266,0.673162
2009-11-01,-1.40121,1.04631
2009-12-01,-1.06047,1.1589
2010-01-01,-1.50453,1.25312
2010-02-01,-1.62065,1.24886
2010-03-01,-1.61428,1.53588
2010-04-01,-0.687822,2.01573
2010-05-01,1.25589,2.41968
2010-06-01,2.79049,1.90316
2010-07-01,3.59626,0.661341
2010-08-01,3.43882,-0.268752
2010-09-01,2.74586,-1.05867
2010-10-01,1.59277,-1.59933
2010-11-01,0.59534,-1.75772
2010-12-01,0.167541,-1.57034
2011-01-01,0.00490607,-1.36936
2011-02-01,-0.408872,-1.36168
2011-03-01,-0.619301,-1.39093
2011-04-01,-0.61466,-1.34042
2011-05-01,-1.38863,-1.21304
2011-06-01,-1.83318,-0.709757
2011-07-01,-1.825,-0.338633
2011-08-01,-1.84304,-0.294449
2011-09-01,-2.03146,-0.158022
2011-10-01,-2.35213,-0.0313347
2011-11-01,-2.15504,0.551639
2011-12-01,-1.29738,1.05467
2012-01-01,-1.16508,0.970871
2012-02-01,-0.93027,0.965047
2012-03-01,-0.978483,1.02832
2012-04-01,-0.86606,1.11881
2012-05-01,-0.610117,1.62284
2012-06-01,-0.0705801,1.92111
2012-07-01,0.444459,1.93552
2012-08-01,0.669711,1.79504
2012-09-01,0.962395,1.6923
2012-10-01,1.04932,1.59755
2012-11-01,1.64132,1.18506
2012-12-01,1.94395,0.55553
2013-01-01,1.82793,0.262523
2013-02-01,2.03331,-0.113842
2013-03-01,2.59169,-0.372881
2013-04-01,2.62707,-0.781308
2013-05-01,2.57679,-1.2229
2013-06-01,1.89214,-1.68261
2013-07-01,1.10567,-1.80788
2013-08-01,0.694156,-1.80037
2013-09-01,0.307904,-1.78774
2013-10-01,-0.0361711,-1.76039
2013-11-01,-0.567268,-1.77703
2013-12-01,-0.983791,-1.74304
2014-01-01,-0.94405,-1.68215
2014-02-01,-1.09204,-1.64794
2014-03-01,-1.21485,-1.52745
2014-04-01,-1.73659,-0.981985
2014-05-01,-2.30552,-0.150458
2014-06-01,-2.39676,0.661896
2014-07-01,-1.97703,1.06627
2014-08-01,-1.95757,1.18557
2014-09-01,-2.00783,1.36312
2014-10-01,-1.5859,1.58334
2014-11-01,-0.601048,1.95693
2014-12-01,0.332608,2.19352
2015-01-01,0.763169,2.17277
2015-02-01,0.816916,2.04788
2015-03-01,1.17069,1.86068
2015-04-01,1.84586,1.61328
2015-05-01,2.83705,0.702432
2015-06-01,3.12922,-0.293367
2015-07-01,2.76292,-0.912925
2015-08-01,2.18488,-1.48423
2015-09-01,1.21802,-1.76749
2015-10-01,0.244216,-1.8564
2015-11-01,-0.614119,-1.8048
2015-12-01,-0.730355,-1.57045
2016-01-01,-0.399603,-1.38431
2016-02-01,-0.397979,-1.20664
