date,MgII
2008-05-01,0.150981
2008-06-01,0.150588
2008-07-01,0.150575
2008-08-01,0.150662
2008-09-01,0.15058
2008-10-01,0.150746
2008-11-01,0.150621
2008-12-01,0.150323
2009-01-01,0.150315
2009-02-01,0.150425
2009-03-01,0.150455
2009-04-01,0.150443
2009-05-01,0.150935
2009-06-01,0.150927
2009-07-01,0.150675
2009-08-01,0.150467
2009-09-01,0.150828
2009-10-01,0.151212
2009-11-01,0.151588
2009-12-01,0.151863
2010-01-01,0.152321
2010-02-01,0.152982
2010-03-01,0.152855
2010-04-01,0.152594
2010-05-01,0.152495
2010-06-01,0.152324
2010-07-01,0.153299
2010-08-01,0.153372
2010-09-01,0.153804
2010-10-01,0.153189
2010-11-01,0.153358
2010-12-01,0.153359
2011-01-01,0.153153
2011-02-01,0.153886
2011-03-01,0.155964
2011-04-01,0.157636
2011-05-01,0.156093
2011-06-01,0.156233
2011-07-01,0.155723
2011-08-01,0.156265
2011-09-01,0.158742
2011-10-01,0.160007
2011-11-01,0.16172
2011-12-01,0.161214
2012-01-01,0.159659
2012-02-01,0.157474
2012-03-01,0.157699
2012-04-01,0.158064
2012-05-01,0.158842
2012-06-01,0.158999
2012-07-01,0.15901
2012-08-01,0.158983
2012-09-01,0.159774
2012-10-01,0.159244
2012-11-01,0.158809
2012-12-01,0.157478
2013-01-01,0.159116
2013-02-01,0.157237
2013-03-01,0.158198
2013-04-01,0.159361
2013-05-01,0.16131
2013-06-01,0.158791
2013-07-01,0.159202
2013-08-01,0.159469
2013-09-01,0.158082
2013-10-01,0.159556
2013-11-01,0.161074
2013-12-01,0.161619
2014-01-01,0.162014
2014-02-01,0.162748
2014-03-01,0.163113
2014-04-01,0.162106
2014-05-01,0.16044
2014-06-01,0.159068
2014-07-01,0.161029
2014-08-01,0.160547
2014-09-01,0.161644
2014-10-01,0.162135
2014-11-01,0.163062
2014-12-01,0.163108
2015-01-01,0.161969
2015-02-01,0.162154
2015-03-01,0.160962
2015-04-01,0.161318
2015-05-01,0.15998
2015-06-01,0.159592
2015-07-01,0.159078
2015-08-01,0.157651
2015-09-01,0.156945
2015-10-01,0.157172
2015-11-01,0.157963
2015-12-01,0.157714
2016-01-01,0.157002
2016-02-01,0.157163
2016-03-01,0.155738
2016-04-01,0.154741
2016-05-01,0.155249
2016-06-01,0.154318
2016-07-01,0.154424
2016-08-01,0.154169
2016-09-01,0.15425
2016-10-01,0.153824
2016-11-01,0.153121
2016-12-01,0.152446
2017-01-01,0.152614
2017-02-01,0.152384
2017-03-01,0.152067
2017-04-01,0.152957
2017-05-01,0.152257
2017-06-01,0.15259
2017-07-01,0.152315
2017-08-01,0.152473
2017-09-01,0.153577
2017-10-01,0.152755
2017-11-01,0.152118
2017-12-01,0.151679
2018-01-01,0.151376
2018-02-01,0.151139
2018-03-01,0.15095
2018-04-01,0.151419
2018-05-01,0.15159
2018-06-01,0.151933
2018-07-01,0.151524
2018-08-01,0.151272
2018-09-01,0.151028
2018-10-01,0.151003
2018-11-01,0.150879
2018-12-01,0.150944
2019-01-01,0.151103
2019-02-01,0.150886
2019-03-01,0.151072
2019-04-01,0.151403
2019-05-01,0.151492
2019-06-01,0.151335
2019-07-01,0.151084
2019-08-01,0.150861
2019-09-01,0.150725
2019-10-01,0.150744
2019-11-01,0.150854
2019-12-01,0.150796
2020-01-01,0.150805
2020-02-01,0.150516
2020-03-01,0.15062
2020-04-01,0.150817
2020-05-01,0.151209
2020-06-01,0.151507
2020-07-01,0.151375
2020-08-01,0.151803
2020-09-01,0.151226
2020-10-01,0.151733
2020-11-01,0.153473
2020-12-01,0.15388
2021-01-01,0.152079
2021-02-01,0.151576
2021-03-01,0.152061
2021-04-01,0.152147
2021-05-01,0.152538
2021-06-01,0.153521
2021-07-01,0.15418
2021-08-01,0.153231
2021-09-01,0.154128
2021-10-01,0.154438
2021-11-01,0.154028
2021-12-01,0.155538
2022-01-01,0.155791
2022-02-01,0.156868
2022-03-01,0.157765
2022-04-01,0.159958
2022-05-01,0.161157
2022-06-01,0.159527
2022-07-01,0.160075
