date,TP
1989-01-01,264.8163432505258
1989-02-01,293.8057538610771
1989-03-01,300.0
1989-04-01,279.324870733534
1989-05-01,300.0
1989-06-01,272.4790592888823
1989-07-01,281.29964231030647
1989-08-01,275.16191349134147
1989-09-01,276.38967803049894
1989-10-01,288.63213342415
1989-11-01,270.00271331280686
1989-12-01,281.7791886800933
1990-01-01,255.08210905556638
1990-02-01,264.6582539531905
1990-03-01,292.9130120143647
1990-04-01,286.9615426327263
1990-05-01,289.68431281441093
1990-06-01,284.4101910524998
1990-07-01,273.2976163470731
1990-08-01,275.4303310911816
1990-09-01,269.19870994431284
1990-10-01,263.1993389742363
1990-11-01,274.17113937640323
1990-12-01,264.92684016152924
1991-01-01,268.63016032025416
1991-02-01,272.1893843502877
1991-03-01,277.1009137773695
1991-04-01,300.0
1991-05-01,300.0
1991-06-01,300.0
1991-07-01,279.483659606717
1991-08-01,272.06338482345853
1991-09-01,294.6461395616968
1991-10-01,264.1011784015947
1991-11-01,287.452881233421
1991-12-01,267.22711003435654
1992-01-01,245.96524965019316
1992-02-01,273.7810233419184
1992-03-01,280.00899212215717
1992-04-01,300.0
1992-05-01,284.7439830458387
1992-06-01,268.921541561219
1992-07-01,287.99091179778645
1992-08-01,283.25415565808913
1992-09-01,272.85362204118826
1992-10-01,300.0
1992-11-01,270.1900964972087
1992-12-01,271.8124006028828
1993-01-01,257.52314489289427
1993-02-01,235.54884344886216
1993-03-01,282.61052461946133
1993-04-01,275.8687105953217
1993-05-01,271.7259687397291
1993-06-01,300.0
1993-07-01,279.02468076313954
1993-08-01,276.6572772697111
1993-09-01,289.8809613219569
1993-10-01,275.4910848924502
1993-11-01,251.2356795935481
1993-12-01,264.8449906781887
1994-01-01,286.98019284783373
1994-02-01,272.52036676676363
1994-03-01,273.1221803629506
1994-04-01,300.0
1994-05-01,300.0
1994-06-01,300.0
1994-07-01,266.34188178363826
1994-08-01,263.94099240553845
1994-09-01,280.73480361199177
1994-10-01,292.83063091365733
1994-11-01,279.00553112757405
1994-12-01,284.0718021563098
1995-01-01,229.00466495251194
1995-02-01,300.0
1995-03-01,285.8116640271711
1995-04-01,300.0
1995-05-01,292.7065219911486
1995-06-01,269.10531276292204
1995-07-01,294.6042556593271
1995-08-01,278.1968467871658
1995-09-01,277.79687323664524
1995-10-01,273.78960739499513
1995-11-01,277.83962920368197
1995-12-01,273.7838901571422
1996-01-01,226.64763150156028
1996-02-01,249.81353484109889
1996-03-01,241.1565901397458
1996-04-01,290.32005795903706
1996-05-01,300.0
1996-06-01,300.0
1996-07-01,282.8518594114023
1996-08-01,262.1622030864041
1996-09-01,272.63241225135425
1996-10-01,265.1349175332987
1996-11-01,293.16459688254923
1996-12-01,300.0
1997-01-01,271.6646171375007
1997-02-01,272.63171669851675
1997-03-01,285.5833950255992
1997-04-01,287.3015693670171
1997-05-01,300.0
1997-06-01,286.98138934497797
1997-07-01,263.242478817138
1997-08-01,251.60168367606528
1997-09-01,277.6995211579281
1997-10-01,300.0
1997-11-01,275.4430714002529
1997-12-01,241.79105313509228
1998-01-01,271.9186942508117
1998-02-01,295.24116765545426
1998-03-01,290.8865791506673
1998-04-01,300.0
1998-05-01,300.0
1998-06-01,287.5360491165823
1998-07-01,285.7093789434288
1998-08-01,291.4647610695399
1998-09-01,265.3962029677089
1998-10-01,279.64879561652776
1998-11-01,273.4658636135816
1998-12-01,281.90809444331273
1999-01-01,300.0
1999-02-01,288.2303958646338
1999-03-01,293.34470868199486
1999-04-01,300.0
1999-05-01,300.0
1999-06-01,266.4197387442932
1999-07-01,290.27997599599956
1999-08-01,294.22912624025486
1999-09-01,258.2785374021462
1999-10-01,276.643492671409
1999-11-01,263.81570570541027
1999-12-01,300.0
2000-01-01,276.2674766454747
2000-02-01,272.0598919451449
2000-03-01,289.1713066198436
2000-04-01,287.4872840939934
2000-05-01,281.2464578970522
2000-06-01,300.0
2000-07-01,271.21100468402256
2000-08-01,283.12454095011714
2000-09-01,268.5514867372182
2000-10-01,256.4273193186723
2000-11-01,260.5524924773254
2000-12-01,284.13132880426133
2001-01-01,267.8092182734817
2001-02-01,300.0
2001-03-01,300.0
2001-04-01,300.0
2001-05-01,300.0
2001-06-01,285.8227888833535
2001-07-01,277.7252615272919
2001-08-01,277.38972028460626
2001-09-01,269.0475780542915
2001-10-01,276.9227970618687
2001-11-01,288.82666017136745
2001-12-01,273.8614743292136
2002-01-01,264.6062929633605
2002-02-01,300.0
2002-03-01,300.0
2002-04-01,281.94185605821224
2002-05-01,278.81991257819385
2002-06-01,291.88172377844995
2002-07-01,274.9824156274486
2002-08-01,255.59039595159746
2002-09-01,284.5143278422892
2002-10-01,300.0
2002-11-01,280.5249030394629
2002-12-01,252.18188913848587
2003-01-01,289.05333108488264
2003-02-01,244.7987100171318
2003-03-01,262.81772458339555
2003-04-01,290.8737871215805
2003-05-01,300.0
2003-06-01,300.0
2003-07-01,259.80859003087556
2003-08-01,283.52481547861476
2003-09-01,274.93924609693494
2003-10-01,300.0
2003-11-01,267.7617822847755
2003-12-01,294.52137035683836
2004-01-01,273.77297233030333
2004-02-01,300.0
2004-03-01,294.3523894211176
2004-04-01,279.21430165692897
2004-05-01,300.0
2004-06-01,300.0
2004-07-01,280.38640965465316
2004-08-01,287.98054463865395
2004-09-01,283.25129374727237
2004-10-01,270.5685227667472
2004-11-01,300.0
2004-12-01,280.68274279139837
2005-01-01,261.5236048521628
2005-02-01,220.4242302935197
2005-03-01,267.61531379873617
2005-04-01,300.0
2005-05-01,300.0
2005-06-01,287.8904117569909
2005-07-01,267.85108155257876
2005-08-01,271.31604997034464
2005-09-01,275.87435327956774
2005-10-01,248.43645337217475
2005-11-01,282.4922739405048
2005-12-01,276.2475868795031
2006-01-01,240.2484044046862
2006-02-01,300.0
2006-03-01,300.0
2006-04-01,300.0
2006-05-01,300.0
2006-06-01,288.1224308623272
2006-07-01,279.8724937451541
2006-08-01,266.33111849140846
2006-09-01,266.46201972398126
2006-10-01,280.64261947705916
